ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
7233.KL,2021-04-21,85.0,1.0,0.0600961325304032,0.0526301463139859,-0.0096153394761481,0.0018153439235718,-0.0096153394761481,0.0058928157350757,0.0860547193874223,0.1292470197015933,4,2021
5031.KL,2022-06-28,60.0,1.0,0.0229883263546293,0.0325638736923915,0.0390802966860268,0.0689275850240047,0.0528735094965735,0.041895622856809,0.1098491948965463,0.1303064655878059,6,2022
5681.KL,2013-07-18,85.0,1.0,0.0166795505834866,0.0072574865967696,0.0136470498789684,0.0213053173328273,0.0606522904007535,0.086395502448262,0.135449345947735,0.1321672507923907,7,2013
7103.KL,2014-06-26,85.0,0.722,-0.005153841272942,-0.0044765663338069,0.0154639595867134,0.0140618079889942,0.1597951421775985,0.1664777906210093,0.1082477171069946,0.1330417540906241,6,2014
0099.KL,2018-02-13,60.0,0.667,0.0556753609532676,0.0431441444589715,0.0781361322165652,0.0571653075683542,0.1792117140641216,0.1622942721184765,0.145520001600039,0.1360274569313169,2,2018
0099.KL,2015-03-31,85.0,0.833,0.0050249674899831,-0.0090291406262341,0.1557791807080952,0.1509561239162431,0.040201206240344,0.0269390835886129,0.0754244800399379,0.137676617860611,3,2015
0099.KL,2015-03-03,85.0,0.833,-0.0256413650608199,-0.0083345595529269,-0.0256413650608199,-0.0073132910002502,0.0205126316183261,0.0152799456625951,0.1025638487371258,0.1386324507446756,3,2015
5681.KL,2012-03-05,85.0,1.0,0.0125866967781211,0.0279841692200881,0.0136893501814823,0.0235180682980037,0.0445744688495755,0.035412704674596,0.1317142512163653,0.1405550202834671,3,2012
4863.KL,2014-07-30,85.0,0.944,-0.0079367199515288,-0.0034540799458775,-0.006349375961223,0.0044580003003723,-0.0047621442141636,-0.0015891504824899,0.1147551379907245,0.1427904846625808,7,2014
5211.KL,2025-08-26,60.0,1.0,0.0979165944987732,0.0998576451853652,0.1020833050937228,0.1012866322563534,0.1541665850855698,0.1356029965537377,0.1621126341255987,0.1430495235434417,8,2025
5263.KL,2025-12-22,60.0,0.778,0.0107143315549205,0.0027923132786662,0.0767858645411281,0.0734711095538398,0.0178572192582007,-0.0027974957968914,0.1673504179341602,0.1449306285335463,12,2025
6459.KL,2008-01-18,85.0,1.0,0.0,0.0236819749019318,0.0,0.0137756817964804,0.0082642785106814,0.0257496685558142,0.0192477551273082,0.1463413455051666,1,2008
0099.KL,2015-01-28,85.0,0.722,0.0677966622679202,0.0602460817800427,0.1242936887115644,0.1214705901329968,0.1126574069502497,0.0985306306354574,0.1811286418452884,0.1481754080267521,1,2015
5681.KL,2008-11-03,60.0,0.778,0.0,-0.0054372766789163,-0.0074627059779753,0.0095384375617041,0.037313009680137,0.0939316612534373,0.124468131988507,0.149541783409109,11,2008
8869.KL,2019-07-18,60.0,0.722,0.0568182204715339,0.0521789076477221,0.1022727499315889,0.1157178587131401,0.0909091762130405,0.1227359371001717,0.1051268388159372,0.1502652323720688,7,2019
5031.KL,2023-01-25,85.0,1.0,0.0251450954927452,0.0315807236617335,0.0058025996367572,0.0223820028586744,0.0348161400752311,0.0632598385864202,0.1026873803438777,0.152212214238859,1,2023
0099.KL,2015-12-08,60.0,1.0,-0.0202544319687657,0.0075426641261747,0.0152805216071871,0.030844479229064,0.0152805216071871,0.0222477671505794,0.1675725169994684,0.1564177428351056,12,2015
5031.KL,2025-11-05,60.0,0.833,-0.0336633264858137,-0.039867227827439,-0.0475247022550815,-0.0489677448685386,0.0772277823451865,0.0764322984234169,0.2301426807880202,0.1565526265427468,11,2025
5031.KL,2025-02-24,85.0,0.889,0.0360721721384829,0.0441895686046734,0.0541082582077243,0.0842739764103438,0.0482875014723644,0.0928827512208653,0.1260985015448759,0.1576275854469588,2,2025
8869.KL,2019-06-20,60.0,0.778,-0.0089887603962912,-0.0073592668026819,-0.0224716690406754,-0.0296638085938145,-0.0112360084828773,0.0045808260912099,0.1107339989835949,0.1579756156889606,6,2019
8869.KL,2017-11-17,100.0,1.0,0.0347830059901783,0.0373561351928019,0.1304346079188914,0.1326418083839562,0.0858792346723884,0.067635265778529,0.2276109324053823,0.1618197673190538,11,2017
5681.KL,2012-04-02,85.0,1.0,-0.0147834188582969,-0.0069893325299615,-0.0084476072544193,-0.0037149832336846,0.0221753406135716,0.0355125902723139,0.1607225543002834,0.1619010292868227,4,2012
7103.KL,2014-04-29,85.0,0.611,-0.0208342113956481,-0.0214204881985264,0.0312503634024323,0.0202303290832457,-0.0624997423495982,-0.0717933785939261,0.1718752451524345,0.1621943904777174,4,2014
6459.KL,2007-05-30,85.0,0.667,0.0044248442052667,-0.0203664085317167,0.0265482260605207,0.0162060950322409,0.1393804420900102,0.1257527002867864,0.1009295183357308,0.1634976837070066,5,2007
7233.KL,2020-12-23,60.0,0.944,0.0349206417545135,0.0472362952067139,-0.0095237644202101,-0.0008378411463103,0.2063492623870115,0.2371595869791967,0.1365078927711129,0.1638826882709233,12,2020
5031.KL,2024-12-23,60.0,0.944,0.0,-0.0288998911752538,-0.0277185243004443,-0.0393899974571343,0.012793265959059,0.0180557033733586,0.1153421055110563,0.1670899930644267,12,2024
7103.KL,2026-04-08,60.0,1.0,0.0354331695865957,0.0430320248684675,0.0433071966384959,0.0350068532057865,0.0236220811557008,-0.0132461297443944,0.1641192896004997,0.1716533068823813,4,2026
5681.KL,2011-07-04,85.0,1.0,0.0753083827266458,0.0713712129697194,0.1111113922241191,0.1236054800278803,0.1025119696161815,0.117894132978177,0.0361110390759027,0.1718774367561232,7,2011
5031.KL,2022-12-22,85.0,1.0,0.0,-0.0184833419141832,0.0142854701071084,-0.0027881627298933,0.0551019367521627,0.0339217167071921,0.1257142824449486,0.1724674581561193,12,2022
5031.KL,2022-08-24,60.0,1.0,0.0797267484979984,0.0628995050360887,0.0865603516546331,0.0678384001802567,0.0997368974708945,0.1285525327471729,0.1563758077331998,0.1725692632949174,8,2022
5681.KL,2010-06-16,85.0,1.0,0.0700222129918182,0.0458919911193851,0.0251642707294112,0.0131106770135076,0.0393878488723451,0.0064927872965845,0.2822892107660679,0.1749160931617099,6,2010
5031.KL,2023-02-24,85.0,1.0,0.0560750357064139,0.0583059527101677,0.0448598975624661,0.0611422231928904,0.0310282431920372,0.070223805892754,0.1387507520371733,0.1760380025442495,2,2023
