ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
8869.KL,2018-11-27,60.0,1.0,0.0210079467380774,0.0150612416302893,-0.0148026593275082,0.0043905407784955,-0.0148026593275082,-0.0074612850999156,-0.1139553563740315,-0.1308577231603461,11,2018
8869.KL,2018-02-14,85.0,1.0,0.0213140601690713,0.0103382234948643,0.0284192767925215,0.0142879852001338,-0.1110099624708932,-0.1166450360255505,-0.1163544446598333,-0.1290688018133964,2,2018
7233.KL,2021-10-20,60.0,1.0,0.0046512204146178,0.0191190668035419,0.0418605479325664,0.0885448902440827,-0.0162790846801649,0.0350991649750322,-0.1604652365943404,-0.1287218778990987,10,2021
5681.KL,2014-02-14,60.0,1.0,0.0158123362620274,0.0095629229224087,0.0211408266618768,0.0121871563769875,0.0091511094826584,0.0169834910423434,-0.1000900635571186,-0.125763764378205,2,2014
7103.KL,2017-01-02,85.0,0.667,-0.0204921666475985,-0.036432695392673,-0.049180402177423,-0.0596023263398101,-0.0409832454177241,-0.0591409564593647,-0.0573773776242098,-0.1228692799530876,1,2017
7103.KL,2026-01-23,85.0,1.0,-0.0201341745345738,-0.0322796025702282,-0.0436241807832177,-0.0618278091598477,-0.0167785059704731,-0.0329530584488769,-0.1107382046651102,-0.1117323737865636,1,2026
1066.KL,2011-07-01,85.0,0.611,-0.0109288468234994,-0.0183833613754805,-0.0131145324815342,-0.009519992185081,-0.0043713713160696,0.0171897011666801,-0.2349726132718591,-0.1112724453744693,7,2011
0099.KL,2017-05-24,85.0,1.0,0.0085836921310897,0.0130444373389093,-0.0044022396798629,-0.0126235012442538,0.0129125433800258,0.0081469342870728,-0.1082907603432374,-0.1112325624272299,5,2017
5031.KL,2021-07-30,85.0,0.944,-0.0416667859434106,-0.0384552732736538,-0.0375002107222477,-0.0430535687870845,-0.0416667859434106,-0.1131106712914037,-0.062500059638372,-0.110847450877487,7,2021
1066.KL,2011-07-29,85.0,0.611,-0.0120745241979165,0.0036665957331797,-0.0230515650094174,0.0190065390731333,-0.1108673660377707,-0.0437190417981752,-0.1447127952291262,-0.1079619724736276,7,2011
5031.KL,2018-01-02,60.0,1.0,-0.0054945969355791,-0.0303164969815806,-0.0120880018455516,-0.0363938745733299,-0.0373624653462912,-0.0855365873158119,-0.0618783474735807,-0.1071804240863819,1,2018
8869.KL,2015-05-07,60.0,0.722,0.0170639587332974,0.016637378742347,-0.072574508432858,-0.067001445079305,-0.0622317554083768,-0.0269871728491553,-0.1518721340055108,-0.1064674683105286,5,2015
5681.KL,2005-05-30,85.0,0.889,-0.0338159488465114,-0.0361263409101731,-0.0193236867716862,-0.0477387519226938,-0.0096617715281375,-0.0341111231751978,-0.0442063575099063,-0.1062896111840232,5,2005
7233.KL,2020-01-29,100.0,0.667,-0.0238663771739576,-0.01504329004611,0.1002387578226697,0.1050953686820598,0.1360382906986654,0.1716920152734187,-0.2147971314860941,-0.1060688366851068,1,2020
8869.KL,2022-05-30,60.0,1.0,-0.0581817510386891,-0.0471060905780399,-0.091793409344032,-0.0517809730484025,-0.1136777184591059,-0.0564652207731113,-0.1519756498260676,-0.1028771230366096,5,2022
7103.KL,2017-05-17,85.0,0.667,-0.027132527661997,-0.0245193918612253,-0.05426394074196,-0.0472017162663694,-0.0210676581302543,-0.0298869828645048,-0.1075605100155913,-0.1026664918492411,5,2017
5031.KL,2021-11-29,60.0,1.0,0.0090498351023138,0.0173910414243985,-0.0068658507172278,0.0127624375434973,0.0253937514610054,0.0059838138865131,-0.0483422970445012,-0.1020637580158515,11,2021
5681.KL,2009-04-03,85.0,0.833,0.0,-0.0378937329766282,0.0130714094746797,-0.0510513372627681,0.0326793867391921,-0.0801638834385924,0.0849668146727107,-0.1011722072089924,4,2009
0099.KL,2017-08-24,60.0,1.0,-0.0234739178155586,-0.0221559984574553,-0.0328639474858322,-0.0370768342606843,-0.1138555070205513,-0.1113435605618073,-0.132912514611092,-0.1005892171464694,8,2017
0099.KL,2016-07-28,85.0,1.0,-0.0259738167737028,-0.0240383564556443,-0.0173158161310321,-0.0295558214539896,-0.1168831012532076,-0.1300275382915705,-0.0912151593979559,-0.1005127439293473,7,2016
5211.KL,2025-12-23,85.0,1.0,-0.0123023348290706,-0.0143719327587447,-0.019332168340142,-0.0151153607382684,-0.0210895846563448,-0.045245038209976,-0.0755645271939375,-0.0994456458077597,12,2025
7103.KL,2026-02-25,85.0,1.0,-0.0273037916438576,0.0010689068921171,-0.0614334482316321,-0.039102629671017,-0.1467576726681156,-0.1256340707276293,-0.1194539639913057,-0.099348796112417,2,2026
5031.KL,2025-08-20,85.0,0.889,0.0019231039611893,0.0021119497468155,-0.0096153203758977,-0.0032811852357936,-0.0134614285832519,-0.0231201565020531,-0.0749999576211146,-0.0974655349619568,8,2025
5031.KL,2025-07-23,60.0,0.889,0.0236220737663503,0.0270800901786822,0.001968633735321,-0.0056728994867241,0.0236220737663503,-0.0145661222496213,-0.0492125771270216,-0.0968661115874925,7,2025
7233.KL,2022-07-18,60.0,0.667,0.0535713667227726,0.0258142346688516,0.1250000117010969,0.0742634774000863,0.1035713714032113,0.0514777128359684,-0.1355808925390903,-0.0962815010034879,7,2022
7233.KL,2020-08-28,85.0,0.778,-0.0178571399741001,-0.0120678019283008,-0.0476190668393324,-0.0385383658600231,-0.0059524338081643,0.0080193714312526,-0.0476190668393324,-0.095068268569371,8,2020
0099.KL,2017-04-24,85.0,1.0,0.0084032736321957,-0.0043639717489718,0.0,-0.0059850286002034,-0.021008618987519,-0.029527716121159,-0.0931220323031545,-0.0948930440995654,4,2017
8869.KL,2015-03-06,85.0,0.667,0.0817598519619011,0.0957114399785058,0.0220124275015236,0.0238441983182495,0.04402523239453,0.0287730634535807,-0.1296036571750611,-0.0933051407506669,3,2015
1066.KL,2011-10-27,60.0,0.611,-0.0458112192626439,-0.0399917320802628,-0.0484291801336645,-0.0469470881025462,-0.0314133013464913,-0.0046411208587362,-0.0589004044217037,-0.0928720882397468,10,2011
7103.KL,2015-01-21,85.0,0.944,0.0095227368524863,-0.0050471661244779,-0.0095242812470456,-0.0317547759370154,0.0,-0.0274506317921003,-0.0380959115353146,-0.0904718273350789,1,2015
7103.KL,2025-12-24,85.0,1.0,-0.0111523867936813,-0.0060579474293072,0.0037175225107703,-0.001186208135786,0.1078067069033028,0.0829722423613048,-0.0706319336421734,-0.0900442918580242,12,2025
