ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
5681.KL,2005-11-16,60.0,1.0,0.0,-0.0068020034613358,-0.005154480720622,-0.00440739896407,-0.0025432840330842,-0.0047734357137526,0.0287903282806467,0.0025748843849757,in_sample,0.0287903282806467,0.0025748843849757,0.0,-0.0068020034613358,True
5681.KL,2005-12-14,60.0,1.0,0.0366489900991375,0.0412662168851509,0.0209423121928125,0.01906202462677,0.0366489900991375,0.0220739602827026,0.073298130167033,0.0475304015352628,in_sample,0.073298130167033,0.0475304015352628,0.073298130167033,0.0475304015352628,False
5681.KL,2006-01-13,85.0,1.0,0.0,0.007117064476121,-0.0252523966597578,-0.0275662307370386,-0.0050503925318335,-0.0142728653022835,0.0353534710571517,0.0004702637899591,in_sample,0.0353534710571517,0.0004702637899591,0.0353534710571517,0.0004702637899591,False
5681.KL,2006-02-10,85.0,1.0,0.0050760284681001,-0.0016173391589737,0.025380723945287,0.0203824346752146,0.0406089547507841,0.0388160540777069,0.0203049135789814,-0.0243213617338693,in_sample,0.0203049135789814,-0.0243213617338693,0.0050760284681001,-0.0016173391589737,True
5681.KL,2006-03-10,85.0,1.0,0.0195124602625065,0.0187966232101373,0.0195124602625065,0.0150328681062481,0.0,-0.0235910446024145,-0.0292680616221343,-0.0387695025975529,in_sample,-0.0292680616221343,-0.0387695025975529,-0.0292680616221343,-0.0387695025975529,False
5681.KL,2006-04-07,85.0,1.0,-0.0048779404068417,0.0008335753373385,-0.0146339609475532,-0.019381161215052,-0.0195116917638532,-0.0382356456254645,-0.0048779404068417,0.0258730518000533,in_sample,-0.0048779404068417,0.0258730518000533,-0.0048779404068417,0.0258730518000533,False
5681.KL,2006-05-05,60.0,1.0,0.0,-0.0048575827315291,-0.0049749400399305,0.0126871502703622,-0.0099505213640256,0.0219411697715985,0.0248747714534491,0.052605776929205,in_sample,0.0248747714534491,0.052605776929205,0.0,-0.0048575827315291,True
5681.KL,2006-06-02,60.0,1.0,-0.0351758812052747,-0.0187155636325371,-0.0251256397137582,0.0148648750218465,0.0251254957738895,0.0423486872453358,0.0750922780506597,0.053818372416974,in_sample,0.0750922780506597,0.053818372416974,-0.0351758812052747,-0.0187155636325371,True
5681.KL,2006-06-30,85.0,1.0,-0.0245096779637908,-0.03639348022267,-0.0147054838307918,-0.0135466239375334,0.0098034920732539,-0.0120946025907924,0.0741973245626412,0.0189436562242455,in_sample,0.0741973245626412,0.0189436562242455,-0.0245096779637908,-0.03639348022267,True
5681.KL,2006-07-28,85.0,1.0,-0.0048540540472895,-0.0083524488968081,-0.0048540540472895,-0.0129313917150036,0.0385605920029845,0.0216570815149828,0.0839349221093894,0.0363591420553595,in_sample,0.0839349221093894,0.0363591420553595,-0.0048540540472895,-0.0083524488968081,True
5681.KL,2006-08-25,85.0,1.0,0.0097088814991221,-0.0009905069421349,0.0097088814991221,0.0032071850079435,0.0242721368047758,0.0087964386235273,0.131067691118166,0.0360986029597001,in_sample,0.131067691118166,0.0360986029597001,0.0097088814991221,-0.0009905069421349,True
5681.KL,2006-09-22,85.0,1.0,0.0189573596004457,0.016553779758166,0.0,-0.0059571295093916,0.0189573596004457,0.0044944624099991,0.1378507088651244,0.0092907093507599,in_sample,0.1378507088651244,0.0092907093507599,0.1378507088651244,0.0092907093507599,False
5681.KL,2006-10-20,85.0,1.0,0.0279068681524143,0.0169692340405944,0.0372092644377928,0.0179790669859243,0.0837203478942658,0.0208111714652716,0.3423939403929801,0.1857134365810175,in_sample,0.3423939403929801,0.1857134365810175,0.3423939403929801,0.1857134365810175,False
5681.KL,2006-11-17,100.0,1.0,-0.008582873056031,-0.0274531676508259,0.0171677584257645,-0.0206111833524256,0.0304147011589861,-0.0162132501137568,0.216766668793406,0.0199450545411619,in_sample,0.216766668793406,0.0199450545411619,-0.008582873056031,-0.0274531676508259,True
5681.KL,2006-12-15,85.0,1.0,0.0127663289653103,0.0215791443540686,0.0595749764788458,0.0532223488886811,0.2021279895415586,0.1623875632233091,0.2127665587201734,0.1275023485134085,in_sample,0.2127665587201734,0.1275023485134085,0.2127665587201734,0.1275023485134085,False
5681.KL,2007-01-16,100.0,1.0,-0.0265487689737816,-0.0587840575884165,-0.0619466497968357,-0.1050418539933617,-0.0176990837541234,-0.1174951572116521,0.2123898651050606,0.057358593889657,in_sample,0.2123898651050606,0.057358593889657,-0.0265487689737816,-0.0587840575884165,True
5681.KL,2007-02-14,100.0,1.0,0.0810812756482028,0.0507113809677044,0.0090095278546669,0.074004197249861,0.0270272215941487,0.077956914547588,0.333333268477626,0.2526839960103688,in_sample,0.333333268477626,0.2526839960103688,0.333333268477626,0.2526839960103688,False
5681.KL,2007-03-16,85.0,1.0,0.0263155950413411,-0.0188967848011756,0.0789469745709217,0.0242438392161898,0.2017546003390342,0.0951736451671951,0.3596489283746744,0.2087607434225515,in_sample,0.3596489283746744,0.2087607434225515,0.0263155950413411,-0.0188967848011756,True
5681.KL,2007-04-13,100.0,1.0,-0.0072993724827049,-0.0127802196107679,0.014598508502535,0.0019321967934331,0.0802915208905885,0.0513203958113437,0.1605832782440519,0.1122344001208406,in_sample,0.1605832782440519,0.1122344001208406,-0.0072993724827049,-0.0127802196107679,True
