记录日,股票,现价,盈亏%,CMF周,CMF月,red_ratio
2026-08-17,7115.KL,1.22,31.32,0.32629761617454306,-0.10319069100906807,0.056
2026-08-17,8907.KL,1.79,-0.39,0.18317242989294902,0.11150167306075556,0.611
2026-08-17,1066.KL,8.59,-2.61,0.044648459519754595,0.21951140445592815,0.833
2026-08-17,1015.KL,7.2,-2.04,0.22411784942884574,0.08597468002125934,0.778
2026-08-17,6491.KL,2.85,2.52,0.03690558441843891,0.16687111633027682,0.889
2026-08-17,5026.KL,1.89,2.16,0.25217802886742285,0.37255554223519033,0.667
2026-08-17,7115.KL,1.22,31.32,0.32629761617454306,-0.10319064055078764,0.056
2026-08-17,8907.KL,1.79,-0.39,0.18317242989294905,0.11150167306075551,0.611
2026-08-17,1066.KL,8.59,-2.61,0.04464845951975462,0.21951103629965046,0.833
2026-08-17,1015.KL,7.2,-2.04,0.22411784942884574,0.08597479962420282,0.778
2026-08-17,6491.KL,2.85,2.52,0.03690558441843886,0.16687115581299183,0.889
2026-08-18,5026.KL,1.89,2.16,0.2515876808860686,0.3731492162620322,0.667
2026-08-18,7115.KL,1.12,20.56,0.25113770002624813,-0.1295495685065604,0.056
2026-08-18,8907.KL,1.78,-0.95,0.18191869720980935,0.10669888987495611,0.611
2026-08-18,1066.KL,8.68,-1.59,0.05051545723493386,0.22727953099827708,0.833
2026-08-18,1015.KL,7.23,-1.63,0.22554864138992214,0.09005590694137369,0.778
2026-08-18,6491.KL,2.86,2.88,0.02299855871139516,0.14373199213687912,0.889
2026-08-18,7161.KL,2.67,-2.2,0.15822712547870132,0.23105720123016238,0.833
2026-08-19,5026.KL,1.89,2.16,0.2444014899224306,0.3692383264957884,0.667
2026-08-19,8907.KL,1.75,-2.62,0.1773649100569522,0.09111889796524947,0.611
2026-08-19,1066.KL,8.61,-2.38,0.03749999113445103,0.21936061480817287,0.833
2026-08-19,1015.KL,7.12,-3.13,0.21449023083876043,0.07866567512576245,0.778
2026-08-19,6491.KL,2.9,4.32,0.0558836243102281,0.16755203100927005,0.889
2026-08-19,7161.KL,2.66,-2.56,0.15110426969441176,0.22839408362067623,0.833
2026-08-20,5026.KL,1.85,0.0,0.19901364852790765,0.34501764783414396,0.667
2026-08-20,8907.KL,1.74,-3.17,0.175262205775656,0.08524941657347075,0.611
2026-08-20,1066.KL,8.56,-2.95,0.026317477918207745,0.2125727758665869,0.833
2026-08-20,1015.KL,7.1,-3.4,0.20280988000941813,0.0765392041949849,0.778
2026-08-20,6491.KL,2.83,1.8,0.0038150678282748442,0.12878253808122647,0.889
2026-08-20,7161.KL,2.67,-2.2,0.14492569951193152,0.23031926290162894,0.833
2026-08-22,5026.KL,1.86,0.54,0.2226445524797139,0.35482846103238036,0.667
2026-08-22,8907.KL,1.73,-3.73,0.1698055604715229,0.07935922582112973,0.611
2026-08-22,1066.KL,8.6,-2.49,0.035213049088193824,0.21603914021939855,0.833
2026-08-22,1015.KL,7.1,-3.4,0.1974162463641257,0.07673862584792583,0.778
2026-08-22,6491.KL,2.88,3.6,0.05548308533778756,0.16016056339171209,0.889
2026-08-22,7161.KL,2.69,-1.47,0.1538057675223398,0.23541771187498087,0.833
2026-08-24,5026.KL,1.86,0.54,0.2226445524797139,0.3548284610323804,0.667
2026-08-24,8907.KL,1.73,-3.73,0.1698055604715229,0.07935922582112973,0.611
2026-08-24,1066.KL,8.6,-2.49,0.03521304908819385,0.21603914021939855,0.833
2026-08-24,1015.KL,7.1,-3.4,0.19741624636412575,0.07673856909839227,0.778
2026-08-24,6491.KL,2.88,3.6,0.05548308533778756,0.16016056339171209,0.889
2026-08-24,7161.KL,2.69,-1.47,0.15380576752233982,0.2354177182618217,0.833
2026-08-24,5026.KL,1.9,2.7,0.26733063267223384,0.3805234305453867,0.667
2026-08-24,8907.KL,1.75,-2.62,0.17958236219690904,0.09009377072852835,0.611
2026-08-24,1066.KL,8.62,-2.27,0.054284463769761496,0.21782863340748154,0.833
2026-08-24,1015.KL,7.1,-3.4,0.24924257746764017,0.0769360946485582,0.778
2026-08-24,6491.KL,2.89,3.96,0.055941116807950546,0.16738898588282497,0.889
2026-08-24,7161.KL,2.76,1.1,0.08521864124038131,0.2553002758398807,0.833
