ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d
5031.KL,2022-01-26,60.0,1.0,-0.011520837803752904,-0.016138983126825823,-0.009216411192534468,-0.05086548787755263,-0.048387000674826486,-0.09850044900972843,0.06078360175998898,0.011818085962668645
5031.KL,2022-02-28,60.0,1.0,-0.030588411444119057,-0.008378367140614573,-0.0017611058037306782,0.023632536563687134,0.046814975078042664,0.05323803445627562,0.07596060597135845,0.11653812268289532
5031.KL,2022-03-28,85.0,1.0,0.020881838808738173,0.020274752978092447,0.011600965403564478,0.007433103841440358,0.03480289621069321,0.03559760036272641,0.009280873405173695,0.09890192870322934
5031.KL,2022-04-26,85.0,1.0,-0.01793722666655817,0.002317355843858726,-0.008968735436631459,0.023767954302659877,-0.006726592278590959,0.026880663010264816,0.026905799298719835,0.10580081178457323
5031.KL,2022-05-30,85.0,1.0,0.004514654556561526,0.015590315017210754,-0.036117236452491874,0.0038951998431375756,-0.01805853627274323,0.03915396141325134,-0.009029391066625703,0.040069135722832216
5031.KL,2022-06-28,60.0,1.0,0.02298832635462933,0.032563873692391554,0.03908029668602686,0.06892758502400476,0.052873509496573545,0.041895622856809034,0.10984919489654632,0.1303064655878059
5031.KL,2022-07-27,85.0,1.0,-0.013100541219943862,-0.026604213513631736,-0.02183412967400289,-0.03653450955271531,-0.04148486223449099,-0.03913908960528012,0.03375601377512405,0.05163848377692348
5031.KL,2022-08-24,60.0,1.0,0.07972674849799843,0.06289950503608877,0.08656035165463316,0.06783840018025677,0.09973689747089454,0.12855253274717293,0.1563758077331998,0.1725692632949174
5031.KL,2022-09-23,85.0,1.0,-0.008583630956208066,0.012714896743776793,-0.03218876648581814,-0.018869294823832705,-0.01931332005150599,-0.03294863702244755,0.05150223693736189,0.021066725062366398
5031.KL,2022-10-25,85.0,1.0,-0.010940919372783298,-0.011986335653405233,0.008752827515406514,0.010871380087971505,0.07221017521374629,0.07284021388569739,0.13129103247339957,0.09318556678861856
5031.KL,2022-11-23,85.0,1.0,-0.020408161805780645,-0.05366760743489396,-0.018367502962044813,-0.03390616157717308,0.0,-0.01721508526909421,0.09183651357577371,0.08262276308867644
5031.KL,2022-12-22,85.0,1.0,0.0,-0.018483341914183216,0.014285470107108456,-0.002788162729893351,0.055101936752162795,0.03392171670719213,0.12571428244494864,0.1724674581561193
5031.KL,2023-01-25,85.0,1.0,0.02514509549274524,0.03158072366173359,0.005802599636757222,0.02238200285867442,0.03481614007523115,0.06325983858642026,0.1026873803438777,0.152212214238859
5031.KL,2023-02-24,85.0,1.0,0.05607503570641392,0.0583059527101677,0.04485989756246611,0.06114222319289042,0.03102824319203723,0.07022380589275401,0.13875075203717335,0.1760380025442495
5031.KL,2023-03-24,85.0,1.0,0.03351943630500265,0.01716592094674807,0.02979517449464497,0.01026235400141351,0.03351943630500265,0.015308397422680864,0.09623838884096259,0.10253254961167746
5031.KL,2023-04-25,85.0,1.0,0.016216192292882736,0.01565482934407081,0.016216192292882736,0.016223130101679417,0.06865978402998141,0.08459447475274351,0.06865978402998141,0.060520449532009746
5031.KL,2023-05-25,85.0,1.0,-0.0055970743773682274,0.008285455836444577,-0.02425356715275573,-0.005429751639012159,-0.007462574102018338,0.0008013341046705369,0.04477624989689488,0.009802453827641111
5031.KL,2023-06-23,85.0,1.0,-0.007518914641061136,-0.011113735185706353,0.0037593993677116355,0.009388856745523477,0.007518682829785073,-0.02548178732289208,0.04576754336145816,0.0021479592776314504
5031.KL,2023-07-25,85.0,1.0,0.007462689142701873,-0.0025944178659906836,0.007462689142701873,-0.002427385642874924,0.04477624989689488,0.0345172768850881,0.011053223917372179,0.006967731286160905
5031.KL,2023-08-22,85.0,1.0,-0.01607148716586737,-0.018076207737018457,-0.0010016738976136308,-0.007264007874069889,-0.006520845321598245,-0.006541533351655526,-0.05067553803773217,-0.05697235206428375
5031.KL,2023-09-20,85.0,1.0,0.0,0.007888115393089645,0.022222143407587325,0.04699554688815022,-0.025925963280778896,-0.019794612144894974,-0.022222254240667594,-0.029724453349587066
5031.KL,2023-10-19,60.0,1.0,-0.001901086605031188,-0.00047312814985611684,0.0,0.0020032541139054505,-0.019011434965383822,-0.03149532537541089,0.04372624352887544,0.008229342163184938
5031.KL,2023-11-17,60.0,1.0,-0.015503899346441807,-0.010882732486766855,-0.019379874183052204,-0.016442839169372836,0.0232558490196626,0.022037293717634965,0.07170547648323566,0.02181056340213927
5031.KL,2023-12-15,85.0,1.0,0.020833194004811872,0.026351294834584538,0.018939421848034543,0.02533278633783831,0.039772729204863966,0.01828820324201974,0.023577106293020567,-0.038223302541750215
5031.KL,2024-01-16,85.0,1.0,-0.0036429926109945443,-0.005142447209919854,0.0018214417974233843,-0.010970826213865914,0.007285985221989089,-0.019275933713818194,-0.024951615908203162,-0.05611232532754806
5031.KL,2024-02-16,85.0,1.0,-0.0036165335845945723,-0.013762884227227934,-0.04159121849886804,-0.04450600481871514,-0.0226967353251758,-0.03526881097493717,-0.018973814006751466,-0.06954923316747963
5031.KL,2024-03-15,60.0,1.0,-0.013333445550944512,-0.006610274500860602,-0.01523819184648989,-0.00956472033141098,-0.009523842218790213,-0.0015320385695966054,-0.04000011517070623,-0.07432457460060149
5031.KL,2024-04-17,60.0,1.0,0.021153785305643158,0.0009904950099086651,-0.0076923567148882155,-0.03358140239406027,0.013461428590755053,-0.03242861398828034,-0.00961530613625361,-0.0700663470605778
5031.KL,2024-05-16,85.0,1.0,-0.020872807498020007,-0.02601835258052465,0.0018976282460105853,0.010854143798532778,-0.0436432432420506,-0.040552218722291755,-0.0664135686652716,-0.0671832183140535
5031.KL,2024-07-01,60.0,1.0,0.013861272835554717,0.003712296944556659,0.013861272835554717,-0.0035082745388335113,0.021782115297008353,0.01318494932644243,-0.022161458270373302,-0.06920191378772711
5031.KL,2024-07-30,60.0,1.0,-0.02906975696068803,-0.005774889829934904,-0.05232549492567662,-0.05082424676323649,-0.021317769190623115,-0.046349779763578236,-0.01077127551696444,-0.029128093367641217
5031.KL,2024-08-27,60.0,1.0,-0.02574259409116042,-0.04048575950138367,-0.0345131878383218,-0.03939122760911817,-0.022161458270373302,-0.034925540436164804,-0.032454604619280736,0.006043470081729008
5031.KL,2024-09-25,60.0,1.0,-0.010526427328892751,0.009833530474862906,0.006315832850124936,0.029305213977467326,0.0336841671498751,0.05271748623639538,-0.035789464389258896,0.008008142160744414
5031.KL,2024-10-23,85.0,1.0,-0.008146771736627145,0.016007537783404024,-0.002036635984434043,0.009081040618665992,-0.04276992517034228,-0.010574366976030758,-0.05091663995724671,-0.00876690023777349
5031.KL,2024-11-21,60.0,1.0,0.031914997415568136,0.02636955325715573,0.021276585617993282,0.004306547582628495,-0.025531795651871803,-0.03271380318241446,0.031914997415568136,0.03884528507160512
5031.KL,2024-12-23,60.0,0.944,0.0,-0.028899891175253822,-0.027718524300444303,-0.03938999745713434,0.012793265959059053,0.0180557033733586,0.11534210551105639,0.16708999306442673
5031.KL,2025-01-22,60.0,0.944,-0.021052678053705254,-0.001604382340650301,-0.010526427328892751,-0.012485103015959176,0.05052619185678586,0.052762020499532825,0.17391345811392722,0.22510380122851759
