记录日,股票,现价,盈亏%,CMF周,CMF月,red_ratio
2026-08-03,7233.KL,2.63,6.61,0.13274403526662173,0.16184430937908423,0.0
2026-08-04,5026.KL,1.89,6.18,0.29336249854544455,0.3268326057625891,0.611
2026-08-04,7115.KL,0.98,5.49,0.17324093039367805,-0.07043007079923137,0.0
2026-08-04,7103.KL,3.0,3.81,0.21442573236910042,0.07346151399793481,1.0
2026-08-04,7233.KL,2.57,4.18,0.12516428855507195,0.1655511041572648,0.0
2026-08-04,5026.KL,1.87,5.06,0.3000672327293338,0.36805031402833216,0.667
2026-08-04,7115.KL,1.06,14.1,0.24077520296363028,-0.12258474825026222,0.0
2026-08-04,7103.KL,2.99,3.46,0.2733036499832704,0.0525440215082817,1.0
2026-08-04,7233.KL,2.79,13.09,0.1388925972027929,0.16394262170925936,0.0
2026-08-04,5026.KL,1.87,5.06,0.30006723272933367,0.3680501751969626,0.667
2026-08-04,7115.KL,1.06,14.1,0.24077520296363028,-0.12258474825026222,0.0
2026-08-04,7103.KL,2.99,3.46,0.2733036499832704,0.05254395300447701,1.0
2026-08-04,7233.KL,2.79,13.09,0.1388925972027929,0.16394264235132228,0.0
2026-08-05,5026.KL,1.88,5.62,0.31154168498998025,0.3701988995580253,0.667
2026-08-05,7115.KL,1.04,11.95,0.22009580355575453,-0.12514306995468205,0.0
2026-08-05,7103.KL,2.99,3.46,0.27160338291725983,0.052638319418497136,1.0
2026-08-05,7233.KL,2.84,15.12,0.13886019625242388,0.16381853068449706,0.0
2026-08-05,5026.KL,1.88,5.62,0.31154168498998025,0.37019889955802543,0.667
2026-08-05,7115.KL,1.04,11.95,0.22009580355575453,-0.12514306995468205,0.0
2026-08-05,7103.KL,2.99,3.46,0.2716033829172598,0.05263838775380354,1.0
2026-08-05,7233.KL,2.84,15.12,0.13886019625242385,0.1638185372334969,0.0
2026-08-05,8907.KL,1.7,-5.4,0.13901474432834252,0.08473686874252505,0.611
2026-08-06,5026.KL,1.86,4.49,0.28254163344092714,0.364504733474028,0.667
2026-08-06,7115.KL,1.03,10.87,0.20453651301638873,-0.12766313341491708,0.0
2026-08-06,7103.KL,2.95,2.08,0.24561837697080055,0.045815037828371874,1.0
2026-08-06,7233.KL,2.87,16.34,0.14375191581022229,0.165588601997392,0.0
2026-08-06,8907.KL,1.72,-4.28,0.14652505188848639,0.08817246052876267,0.611
2026-08-06,5026.KL,1.88,5.62,0.3044911957067638,0.36874247250064823,0.667
2026-08-06,7115.KL,1.05,13.02,0.238648755542436,-0.12177832431553853,0.0
2026-08-06,7103.KL,2.95,2.08,0.2562325499301423,0.04920495706055254,1.0
2026-08-06,7233.KL,2.88,16.74,0.14671502890036983,0.16664897615541788,0.0
2026-08-06,8907.KL,1.8,0.17,0.20059055462222838,0.11244365589189145,0.611
2026-08-07,5026.KL,1.88,5.62,0.3048405462851495,0.36878826337096454,0.667
2026-08-07,7115.KL,1.04,11.95,0.2278538808801724,-0.12240083514495541,0.0
2026-08-07,7103.KL,3.0,3.81,0.2878675704926328,0.05798984944251476,1.0
2026-08-07,7233.KL,2.85,15.52,0.14282796604407447,0.16520803893564723,0.0
2026-08-07,8907.KL,1.81,0.72,0.21088739691598185,0.11733766214638564,0.611
2026-08-07,5026.KL,1.88,1.62,0.30484054628514967,0.3687881249357153,0.667
2026-08-07,7115.KL,1.04,11.95,0.22785388088017208,-0.12240090576751908,0.0
2026-08-07,7103.KL,3.0,3.81,0.2878675704926328,0.05798978142085873,1.0
2026-08-07,7233.KL,2.85,15.52,0.1428279660440745,0.1652081043533243,0.0
2026-08-07,8907.KL,1.81,0.72,0.21088739691598185,0.11733766214638564,0.611
2026-08-10,5026.KL,1.85,0.0,0.2729159937325926,0.3608003244862633,0.667
2026-08-10,7115.KL,1.11,19.48,0.2770273135527901,-0.11437599483294189,0.0
2026-08-10,7103.KL,3.03,4.84,0.28602345081200364,0.05909357470526349,1.0
2026-08-10,7233.KL,2.9,17.55,0.15845443423665806,0.169171015188566,0.0
2026-08-10,8907.KL,1.83,1.84,0.20034463828687213,0.1262468744722089,0.611
2026-08-10,5026.KL,1.85,0.0,0.2729159937325926,0.36080046256746195,0.667
2026-08-10,7115.KL,1.11,19.48,0.27702731355279,-0.11437592134797502,0.0
2026-08-10,7103.KL,3.03,4.84,0.28602345081200364,0.05909357470526351,1.0
2026-08-10,7233.KL,2.9,17.55,0.15845443423665806,0.16917099472251992,0.0
2026-08-10,8907.KL,1.83,1.84,0.20034463828687213,0.1262468744722089,0.611
